transaction_id,date,bank,region,transaction_type,amount,status,processing_time_hrs
TXN00000,2024-03-22,Kotak,North,NEFT,23463.4,Completed,3.54
TXN00001,2024-09-16,ICICI,Central,UPI,150506.07,Failed,1.65
TXN00002,2024-06-03,Kotak,South,RTGS,65837.28,Completed,2.22
TXN00003,2024-08-30,ICICI,West,NEFT,45647.13,Pending,2.43
TXN00004,2024-04-21,Kotak,West,IMPS,8481.24,Pending,0.69
TXN00005,2023-08-18,SBI,Central,IMPS,8479.81,Completed,1.27
TXN00006,2024-08-21,ICICI,Central,RTGS,2991.94,Completed,6.26
TXN00007,2023-06-07,Kotak,South,NEFT,100561.54,Completed,2.91
TXN00008,2024-02-05,HDFC,South,UPI,45954.11,Completed,6.98
TXN00009,2023-12-30,SBI,North,RTGS,61562.5,Pending,2.74
TXN00010,2024-08-22,SBI,West,NEFT,1039.97,Completed,0.39
TXN00011,2024-08-05,HDFC,West,SWIFT,175177.87,Completed,0.13
TXN00012,2023-11-24,Kotak,Central,IMPS,89321.48,Completed,1.72
TXN00013,2024-02-10,Axis,North,UPI,11934.38,Completed,0.89
TXN00014,2024-04-11,HDFC,West,UPI,10033.95,Completed,0.64
TXN00015,2024-11-23,Kotak,North,UPI,10130.57,Completed,3.29
TXN00016,2024-06-17,HDFC,North,IMPS,18137.69,Completed,0.91
TXN00017,2024-02-16,HDFC,Central,NEFT,37196.39,Completed,0.76
TXN00018,2023-11-11,ICICI,North,RTGS,28276.85,Pending,3.79
TXN00019,2023-02-28,Kotak,South,NEFT,17211.15,Completed,3.75
TXN00020,2023-05-10,Axis,South,RTGS,47318.54,Failed,0.88
TXN00021,2024-12-01,ICICI,East,UPI,7511.73,Completed,3.57
TXN00022,2023-10-20,HDFC,Central,NEFT,17275.78,Failed,3.8
TXN00023,2024-11-14,HDFC,East,UPI,22813.86,Failed,1.1
TXN00024,2023-09-13,HDFC,South,SWIFT,30446.73,Pending,0.14
TXN00025,2024-02-15,Kotak,East,UPI,76896.8,Completed,0.0
TXN00026,2023-07-23,Kotak,Central,UPI,11136.79,Failed,1.48
TXN00027,2024-08-18,ICICI,Central,RTGS,36101.46,Completed,0.84
TXN00028,2024-02-04,Axis,North,SWIFT,44875.24,Completed,11.71
TXN00029,2024-11-05,ICICI,West,UPI,2378.19,Completed,2.96
TXN00030,2023-04-19,SBI,North,UPI,46766.65,Completed,2.86
TXN00031,2024-04-23,HDFC,Central,SWIFT,9348.06,Failed,6.21
TXN00032,2023-07-03,HDFC,South,SWIFT,3363.2,Completed,4.37
TXN00033,2024-12-25,HDFC,South,NEFT,148684.39,Pending,0.77
TXN00034,2024-12-23,ICICI,North,RTGS,168531.52,Pending,0.36
TXN00035,2023-02-11,ICICI,Central,SWIFT,82616.58,Failed,2.74
TXN00036,2023-02-28,HDFC,South,SWIFT,18164.39,Completed,0.95
TXN00037,2024-09-15,ICICI,Central,IMPS,5138.87,Completed,1.28
TXN00038,2023-11-22,Kotak,South,SWIFT,57637.54,Completed,1.99
TXN00039,2023-02-17,Kotak,Central,RTGS,29004.54,Completed,4.77
TXN00040,2023-03-26,ICICI,East,UPI,6507.61,Completed,1.09
TXN00041,2024-09-23,HDFC,Central,UPI,34177.36,Completed,3.06
TXN00042,2023-07-02,ICICI,Central,UPI,1749.69,Completed,0.62
TXN00043,2024-07-24,ICICI,North,UPI,120021.14,Completed,2.39
TXN00044,2024-09-23,ICICI,East,IMPS,14972.89,Completed,0.0
TXN00045,2024-07-04,SBI,West,SWIFT,54312.79,Pending,4.1
TXN00046,2024-03-06,Kotak,North,UPI,18677.33,Failed,0.06
TXN00047,2024-11-28,Axis,West,NEFT,36705.54,Failed,2.49
TXN00048,2023-03-17,Axis,South,UPI,39561.19,Pending,0.09
TXN00049,2024-12-03,SBI,West,SWIFT,10219.43,Completed,0.62
TXN00050,2024-01-11,ICICI,Central,UPI,174640.36,Completed,1.38
TXN00051,2024-07-13,SBI,West,IMPS,74612.27,Completed,1.09
TXN00052,2024-03-23,SBI,North,RTGS,140254.72,Failed,0.43
TXN00053,2023-12-15,HDFC,North,RTGS,112607.6,Completed,0.81
TXN00054,2023-04-16,Kotak,West,SWIFT,45552.72,Completed,2.6
TXN00055,2023-03-12,Axis,North,RTGS,127471.77,Failed,2.21
TXN00056,2024-06-16,ICICI,North,RTGS,4632.77,Completed,0.15
TXN00057,2023-12-07,Axis,West,NEFT,10906.73,Completed,2.75
TXN00058,2024-10-05,Axis,East,SWIFT,2314.1,Completed,0.11
TXN00059,2023-11-21,Kotak,East,SWIFT,19676.6,Completed,1.57
TXN00060,2024-03-29,Axis,South,RTGS,24606.51,Completed,0.6
TXN00061,2023-07-14,Axis,North,RTGS,15828.02,Completed,1.77
TXN00062,2024-01-10,SBI,West,RTGS,88227.89,Completed,0.61
TXN00063,2023-09-11,Kotak,North,IMPS,22061.35,Completed,8.39
TXN00064,2023-06-05,HDFC,Central,UPI,16490.14,Completed,0.74
TXN00065,2024-10-28,ICICI,North,IMPS,39120.35,Pending,0.55
TXN00066,2023-04-10,Axis,North,SWIFT,7594.91,Failed,0.65
TXN00067,2023-10-25,ICICI,East,NEFT,81024.18,Completed,4.54
TXN00068,2023-10-06,HDFC,West,UPI,3873.79,Completed,2.02
TXN00069,2024-07-18,ICICI,North,NEFT,216707.32,Completed,2.62
TXN00070,2023-08-16,HDFC,East,SWIFT,73974.19,Completed,5.0
TXN00071,2024-06-21,SBI,South,SWIFT,11076.97,Pending,4.86
TXN00072,2024-05-15,Axis,East,NEFT,276.87,Failed,2.69
TXN00073,2023-01-20,HDFC,East,NEFT,84494.84,Completed,0.44
TXN00074,2023-08-14,ICICI,East,NEFT,61354.8,Completed,3.71
TXN00075,2023-01-26,Axis,North,SWIFT,65283.15,Failed,0.46
TXN00076,2023-01-26,SBI,North,RTGS,73760.73,Failed,2.72
TXN00077,2023-06-03,Axis,South,NEFT,3846.46,Completed,2.31
TXN00078,2023-05-20,HDFC,Central,UPI,22194.63,Completed,2.84
TXN00079,2023-08-04,SBI,Central,SWIFT,6157.51,Completed,1.52
TXN00080,2023-01-03,ICICI,Central,IMPS,99426.48,Completed,2.04
TXN00081,2023-05-13,SBI,South,IMPS,48815.06,Completed,6.13
TXN00082,2023-12-06,SBI,Central,UPI,20090.94,Pending,0.21
TXN00083,2023-05-24,Kotak,Central,RTGS,3283.4,Failed,0.74
TXN00084,2023-06-10,SBI,East,NEFT,18624.42,Completed,1.89
TXN00085,2024-08-15,SBI,North,SWIFT,19665.71,Completed,6.65
TXN00086,2024-09-14,Axis,North,NEFT,65393.79,Completed,0.2
